monthly gross income,net income,social security payments,income tax
16100,9154.22,1250.10,5695.68
16200,9209.91,1250.10,5739.99
16300,9265.60,1250.10,5784.30
16400,9321.29,1250.10,5828.61
16500,9376.98,1250.10,5872.92
16600,9432.67,1250.10,5917.23
16700,9488.36,1250.10,5961.54
16800,9544.05,1250.10,6005.85
16900,9599.74,1250.10,6050.16
17000,9655.43,1250.10,6094.47
17100,9711.12,1250.10,6138.78
17200,9766.81,1250.10,6183.09
17300,9822.50,1250.10,6227.40
17400,9878.19,1250.10,6271.71
17500,9933.88,1250.10,6316.02
17600,9989.57,1250.10,6360.33
17700,10045.26,1250.10,6404.64
17800,10100.95,1250.10,6448.95
17900,10156.64,1250.10,6493.26
18000,10212.33,1250.10,6537.57
18100,10268.02,1250.10,6581.88
18200,10323.71,1250.10,6626.19
18300,10379.40,1250.10,6670.50
18400,10435.09,1250.10,6714.81
18500,10490.78,1250.10,6759.12
18600,10546.47,1250.10,6803.43
18700,10602.16,1250.10,6847.74
18800,10657.85,1250.10,6892.05
18900,10713.54,1250.10,6936.36
19000,10769.23,1250.10,6980.67
19100,10824.92,1250.10,7024.98
19200,10880.61,1250.10,7069.29
19300,10936.30,1250.10,7113.60
19400,10991.99,1250.10,7157.91
19500,11047.68,1250.10,7202.22
19600,11103.37,1250.10,7246.53
19700,11159.06,1250.10,7290.84
19800,11214.75,1250.10,7335.15
19900,11270.44,1250.10,7379.46
20000,11326.13,1250.10,7423.77
20100,11381.82,1250.10,7468.08
20200,11437.51,1250.10,7512.39
20300,11493.20,1250.10,7556.70
20400,11548.89,1250.10,7601.01
20500,11604.58,1250.10,7645.32
20600,11660.27,1250.10,7689.63
20700,11715.96,1250.10,7733.94
20800,11771.65,1250.10,7778.25
20900,11827.34,1250.10,7822.56
21000,11883.03,1250.10,7866.87
21100,11938.72,1250.10,7911.18
21200,11994.41,1250.10,7955.49
21300,12050.10,1250.10,7999.80
21400,12105.79,1250.10,8044.11
21500,12161.48,1250.10,8088.42
21600,12217.17,1250.10,8132.73
21700,12272.86,1250.10,8177.04
21800,12328.55,1250.10,8221.35
21900,12384.24,1250.10,8265.66
22000,12439.93,1250.10,8309.97
22100,12495.62,1250.10,8354.28
22200,12551.31,1250.10,8398.59
22300,12607.00,1250.10,8442.90
22400,12662.69,1250.10,8487.21
22500,12718.38,1250.10,8531.52
22600,12774.07,1250.10,8575.83
22700,12829.76,1250.10,8620.14
22800,12885.45,1250.10,8664.45
22900,12941.14,1250.10,8708.76
23000,12996.83,1250.10,8753.07
23100,13052.52,1250.10,8797.38
23200,13108.21,1250.10,8841.69
23300,13163.90,1250.10,8886.00
23400,13219.59,1250.10,8930.31
23500,13275.28,1250.10,8974.62
23600,13330.97,1250.10,9018.93
23700,13386.66,1250.10,9063.24
23800,13442.35,1250.10,9107.55
23900,13498.04,1250.10,9151.86
24000,13553.73,1250.10,9196.17
24100,13609.42,1250.10,9240.48
24200,13665.11,1250.10,9284.79
24300,13720.80,1250.10,9329.10
24400,13776.49,1250.10,9373.41
24500,13829.64,1250.10,9420.26
24600,13882.17,1250.10,9467.73
24700,13934.69,1250.10,9515.21
24800,13987.22,1250.10,9562.68
24900,14039.74,1250.10,9610.16
25000,14092.27,1250.10,9657.63
25100,14144.79,1250.10,9705.11
25200,14197.32,1250.10,9752.58
25300,14249.84,1250.10,9800.06
25400,14302.37,1250.10,9847.53
25500,14354.89,1250.10,9895.01
25600,14407.42,1250.10,9942.48
25700,14459.94,1250.10,9989.96
25800,14512.47,1250.10,10037.43
25900,14564.99,1250.10,10084.91
26000,14617.52,1250.10,10132.38
26100,14670.04,1250.10,10179.86
26200,14722.57,1250.10,10227.33
26300,14775.09,1250.10,10274.81
26400,14827.62,1250.10,10322.28
26500,14880.14,1250.10,10369.76
26600,14932.67,1250.10,10417.23
26700,14985.19,1250.10,10464.71
26800,15037.72,1250.10,10512.18
26900,15090.24,1250.10,10559.66
27000,15142.77,1250.10,10607.13
27100,15195.29,1250.10,10654.61
27200,15247.82,1250.10,10702.08
27300,15300.34,1250.10,10749.56
27400,15352.87,1250.10,10797.03
27500,15405.39,1250.10,10844.51
27600,15457.92,1250.10,10891.98
27700,15510.44,1250.10,10939.46
27800,15562.97,1250.10,10986.93
27900,15615.49,1250.10,11034.41
28000,15668.02,1250.10,11081.88
28100,15720.54,1250.10,11129.36
28200,15773.07,1250.10,11176.83
28300,15825.59,1250.10,11224.31
28400,15878.12,1250.10,11271.78
28500,15930.64,1250.10,11319.26
28600,15983.17,1250.10,11366.73
28700,16035.69,1250.10,11414.21
28800,16088.22,1250.10,11461.68
28900,16140.74,1250.10,11509.16
29000,16193.27,1250.10,11556.63
29100,16245.79,1250.10,11604.11
29200,16298.32,1250.10,11651.58
29300,16350.84,1250.10,11699.06
29400,16403.37,1250.10,11746.53
29500,16455.89,1250.10,11794.01
29600,16508.42,1250.10,11841.48
29700,16560.94,1250.10,11888.96
29800,16613.47,1250.10,11936.43
29900,16665.99,1250.10,11983.91
30000,16718.52,1250.10,12031.38
30100,16771.04,1250.10,12078.86
30200,16823.57,1250.10,12126.33
30300,16876.09,1250.10,12173.81
30400,16928.62,1250.10,12221.28
30500,16981.14,1250.10,12268.76
30600,17033.67,1250.10,12316.23
30700,17086.19,1250.10,12363.71
30800,17138.72,1250.10,12411.18
30900,17191.24,1250.10,12458.66
31000,17243.77,1250.10,12506.13
31100,17296.29,1250.10,12553.61
31200,17348.82,1250.10,12601.08
31300,17401.34,1250.10,12648.56
31400,17453.87,1250.10,12696.03
31500,17506.39,1250.10,12743.51
31600,17558.92,1250.10,12790.98
31700,17611.44,1250.10,12838.46
31800,17663.97,1250.10,12885.93
31900,17716.49,1250.10,12933.41
32000,17769.02,1250.10,12980.88
32100,17821.54,1250.10,13028.36
32200,17874.07,1250.10,13075.83
32300,17926.59,1250.10,13123.31
32400,17979.12,1250.10,13170.78
32500,18031.64,1250.10,13218.26
32600,18084.17,1250.10,13265.73
32700,18136.69,1250.10,13313.21
32800,18189.22,1250.10,13360.68
32900,18241.74,1250.10,13408.16
33000,18294.27,1250.10,13455.63
33100,18346.79,1250.10,13503.11
33200,18399.32,1250.10,13550.58
33300,18451.84,1250.10,13598.06
33400,18504.37,1250.10,13645.53
33500,18556.89,1250.10,13693.01
33600,18609.42,1250.10,13740.48
33700,18661.94,1250.10,13787.96
33800,18714.47,1250.10,13835.43
33900,18766.99,1250.10,13882.91
34000,18819.52,1250.10,13930.38
34100,18872.04,1250.10,13977.86
34200,18924.57,1250.10,14025.33
34300,18977.09,1250.10,14072.81
34400,19029.62,1250.10,14120.28
34500,19082.14,1250.10,14167.76
34600,19134.67,1250.10,14215.23
34700,19187.19,1250.10,14262.71
34800,19239.72,1250.10,14310.18
34900,19292.24,1250.10,14357.66
35000,19344.77,1250.10,14405.13
35100,19397.29,1250.10,14452.61
35200,19449.82,1250.10,14500.08
35300,19502.34,1250.10,14547.56
35400,19554.87,1250.10,14595.03
35500,19607.39,1250.10,14642.51
35600,19659.92,1250.10,14689.98
35700,19712.44,1250.10,14737.46
35800,19764.97,1250.10,14784.93
35900,19817.49,1250.10,14832.41
36000,19870.02,1250.10,14879.88
36100,19922.54,1250.10,14927.36
36200,19975.07,1250.10,14974.83
36300,20027.59,1250.10,15022.31
36400,20080.12,1250.10,15069.78
36500,20132.64,1250.10,15117.26
36600,20185.17,1250.10,15164.73
36700,20237.69,1250.10,15212.21
36800,20290.22,1250.10,15259.68
36900,20342.74,1250.10,15307.16
37000,20395.27,1250.10,15354.63
37100,20447.79,1250.10,15402.11
37200,20500.32,1250.10,15449.58
37300,20552.84,1250.10,15497.06
37400,20605.37,1250.10,15544.53
37500,20657.89,1250.10,15592.01
37600,20710.42,1250.10,15639.48
37700,20762.94,1250.10,15686.96
37800,20815.47,1250.10,15734.43
37900,20867.99,1250.10,15781.91
38000,20920.52,1250.10,15829.38
38100,20973.04,1250.10,15876.86
38200,21025.57,1250.10,15924.33
38300,21078.09,1250.10,15971.81
38400,21130.62,1250.10,16019.28
38500,21183.14,1250.10,16066.76
38600,21235.67,1250.10,16114.23
38700,21288.19,1250.10,16161.71
38800,21340.72,1250.10,16209.18
38900,21393.24,1250.10,16256.66
39000,21445.77,1250.10,16304.13
39100,21498.29,1250.10,16351.61
39200,21550.82,1250.10,16399.08
39300,21603.34,1250.10,16446.56
39400,21655.87,1250.10,16494.03
39500,21708.39,1250.10,16541.51
39600,21760.92,1250.10,16588.98
39700,21813.44,1250.10,16636.46
39800,21865.97,1250.10,16683.93
39900,21918.49,1250.10,16731.41
40000,21971.02,1250.10,16778.88
40100,22023.54,1250.10,16826.36
40200,22076.07,1250.10,16873.83
40300,22128.59,1250.10,16921.31
40400,22181.12,1250.10,16968.78
40500,22233.64,1250.10,17016.26
40600,22286.17,1250.10,17063.73
40700,22338.69,1250.10,17111.21
40800,22391.22,1250.10,17158.68
40900,22443.74,1250.10,17206.16
41000,22496.27,1250.10,17253.63
41100,22548.79,1250.10,17301.11
41200,22601.32,1250.10,17348.58
41300,22653.84,1250.10,17396.06
41400,22706.37,1250.10,17443.53
41500,22758.89,1250.10,17491.01
41600,22811.42,1250.10,17538.48
41700,22863.94,1250.10,17585.96
41800,22916.47,1250.10,17633.43
41900,22968.99,1250.10,17680.91
