monthly gross income,net income,social security payments,income tax
16100,9199.68,1250.10,5650.22
16200,9255.37,1250.10,5694.53
16300,9311.06,1250.10,5738.84
16400,9366.75,1250.10,5783.15
16500,9422.44,1250.10,5827.46
16600,9478.13,1250.10,5871.77
16700,9533.82,1250.10,5916.08
16800,9589.51,1250.10,5960.39
16900,9645.20,1250.10,6004.70
17000,9700.89,1250.10,6049.01
17100,9756.58,1250.10,6093.32
17200,9812.27,1250.10,6137.63
17300,9867.96,1250.10,6181.94
17400,9923.65,1250.10,6226.25
17500,9979.34,1250.10,6270.56
17600,10035.03,1250.10,6314.87
17700,10090.72,1250.10,6359.18
17800,10146.41,1250.10,6403.49
17900,10202.10,1250.10,6447.80
18000,10257.79,1250.10,6492.11
18100,10313.48,1250.10,6536.42
18200,10369.17,1250.10,6580.73
18300,10424.86,1250.10,6625.04
18400,10480.55,1250.10,6669.35
18500,10536.24,1250.10,6713.66
18600,10591.93,1250.10,6757.97
18700,10647.62,1250.10,6802.28
18800,10703.31,1250.10,6846.59
18900,10759.00,1250.10,6890.90
19000,10814.69,1250.10,6935.21
19100,10870.38,1250.10,6979.52
19200,10926.07,1250.10,7023.83
19300,10981.76,1250.10,7068.14
19400,11037.45,1250.10,7112.45
19500,11093.14,1250.10,7156.76
19600,11148.83,1250.10,7201.07
19700,11204.52,1250.10,7245.38
19800,11260.21,1250.10,7289.69
19900,11315.90,1250.10,7334.00
20000,11371.59,1250.10,7378.31
20100,11427.28,1250.10,7422.62
20200,11482.97,1250.10,7466.93
20300,11538.66,1250.10,7511.24
20400,11594.35,1250.10,7555.55
20500,11650.04,1250.10,7599.86
20600,11705.73,1250.10,7644.17
20700,11761.42,1250.10,7688.48
20800,11817.11,1250.10,7732.79
20900,11872.80,1250.10,7777.10
21000,11928.49,1250.10,7821.41
21100,11984.18,1250.10,7865.72
21200,12039.87,1250.10,7910.03
21300,12095.56,1250.10,7954.34
21400,12151.25,1250.10,7998.65
21500,12206.94,1250.10,8042.96
21600,12262.63,1250.10,8087.27
21700,12318.32,1250.10,8131.58
21800,12374.01,1250.10,8175.89
21900,12429.70,1250.10,8220.20
22000,12485.39,1250.10,8264.51
22100,12541.08,1250.10,8308.82
22200,12596.77,1250.10,8353.13
22300,12652.46,1250.10,8397.44
22400,12708.15,1250.10,8441.75
22500,12763.84,1250.10,8486.06
22600,12819.53,1250.10,8530.37
22700,12875.22,1250.10,8574.68
22800,12930.91,1250.10,8618.99
22900,12986.60,1250.10,8663.30
23000,13042.29,1250.10,8707.61
23100,13097.98,1250.10,8751.92
23200,13153.67,1250.10,8796.23
23300,13209.36,1250.10,8840.54
23400,13265.05,1250.10,8884.85
23500,13320.74,1250.10,8929.16
23600,13376.43,1250.10,8973.47
23700,13432.12,1250.10,9017.78
23800,13487.81,1250.10,9062.09
23900,13543.50,1250.10,9106.40
24000,13599.19,1250.10,9150.71
24100,13654.88,1250.10,9195.02
24200,13710.57,1250.10,9239.33
24300,13766.26,1250.10,9283.64
24400,13821.95,1250.10,9327.95
24500,13877.64,1250.10,9372.26
24600,13930.78,1250.10,9419.12
24700,13983.31,1250.10,9466.59
24800,14035.83,1250.10,9514.07
24900,14088.36,1250.10,9561.54
25000,14140.88,1250.10,9609.02
25100,14193.41,1250.10,9656.49
25200,14245.93,1250.10,9703.97
25300,14298.46,1250.10,9751.44
25400,14350.98,1250.10,9798.92
25500,14403.51,1250.10,9846.39
25600,14456.03,1250.10,9893.87
25700,14508.56,1250.10,9941.34
25800,14561.08,1250.10,9988.82
25900,14613.61,1250.10,10036.29
26000,14666.13,1250.10,10083.77
26100,14718.66,1250.10,10131.24
26200,14771.18,1250.10,10178.72
26300,14823.71,1250.10,10226.19
26400,14876.23,1250.10,10273.67
26500,14928.76,1250.10,10321.14
26600,14981.28,1250.10,10368.62
26700,15033.81,1250.10,10416.09
26800,15086.33,1250.10,10463.57
26900,15138.86,1250.10,10511.04
27000,15191.38,1250.10,10558.52
27100,15243.91,1250.10,10605.99
27200,15296.43,1250.10,10653.47
