monthly gross income,net income,social security payments,income tax
0,0.00,0.00,0.00
100,79.63,20.38,0.00
200,159.25,40.75,0.00
300,238.88,61.13,0.00
400,318.50,81.50,0.00
500,398.13,101.88,0.00
600,477.75,122.25,0.00
700,557.38,142.63,0.00
800,637.00,163.00,0.00
900,716.63,183.38,0.00
1000,796.25,203.75,0.00
1100,875.88,224.13,0.00
1200,955.50,244.50,0.00
1300,1029.13,264.88,6.00
1400,1094.34,285.25,20.41
1500,1157.13,305.63,37.25
1600,1217.92,326.00,56.08
1700,1277.72,346.38,75.91
1800,1337.42,366.75,95.83
1900,1396.80,387.13,116.08
2000,1455.84,407.50,136.66
2100,1514.55,427.88,157.58
2200,1572.84,448.25,178.91
2300,1630.88,468.63,200.50
2400,1688.50,489.00,222.50
2500,1745.88,509.38,244.75
2600,1802.84,529.75,267.41
2700,1859.47,550.13,290.41
2800,1915.75,570.50,313.75
2900,1971.63,590.88,337.50
3000,2027.25,611.25,361.50
3100,2082.55,631.63,385.83
3200,2137.42,652.00,410.58
3300,2192.05,672.38,435.58
3400,2246.25,692.75,461.00
3500,2300.13,713.13,486.75
3600,2353.75,733.50,512.75
3700,2406.88,753.88,539.25
3800,2459.75,774.25,566.00
3900,2512.30,794.63,593.08
4000,2564.50,815.00,620.50
4100,2616.38,835.38,648.25
4200,2667.84,855.75,676.41
4300,2718.97,876.13,704.91
4400,2769.84,896.50,733.66
4500,2820.30,916.88,762.83
4600,2870.42,937.25,792.33
4700,2920.22,957.63,822.16
4800,2969.67,978.00,852.33
4900,3022.72,992.20,885.08
5000,3077.72,1002.70,919.58
5100,3132.30,1013.20,954.50
5200,3186.47,1023.70,989.83
5300,3240.22,1034.20,1025.58
5400,3293.47,1044.70,1061.83
5500,3346.39,1055.20,1098.41
5600,3398.80,1065.70,1135.50
5700,3450.89,1076.20,1172.91
5800,3502.47,1086.70,1210.83
5900,3553.64,1097.20,1249.16
6000,3604.47,1107.70,1287.83
6100,3655.22,1118.20,1326.58
6200,3706.05,1128.70,1365.25
6300,3756.80,1139.20,1404.00
6400,3804.01,1149.70,1446.29
6500,3850.25,1160.20,1489.55
6600,3896.39,1170.70,1532.91
6700,3942.62,1181.20,1576.18
6800,3999.26,1181.20,1619.54
6900,4055.90,1181.20,1662.90
7000,4112.63,1181.20,1706.17
7100,4169.27,1181.20,1749.53
7200,4222.27,1181.20,1796.53
7300,4275.27,1181.20,1843.53
7400,4328.27,1181.20,1890.53
7500,4381.27,1181.20,1937.53
7600,4434.28,1181.20,1984.52
7700,4487.28,1181.20,2031.52
7800,4540.28,1181.20,2078.52
7900,4593.28,1181.20,2125.52
8000,4646.28,1181.20,2172.52
8100,4699.29,1181.20,2219.51
8200,4752.29,1181.20,2266.51
8300,4805.29,1181.20,2313.51
8400,4858.29,1181.20,2360.51
8500,4911.29,1181.20,2407.51
