monthly gross income,net income,social security payments,income tax
0,0.00,0.00,0.00
100,79.53,20.48,0.00
200,159.05,40.95,0.00
300,238.58,61.43,0.00
400,318.10,81.90,0.00
500,397.63,102.38,0.00
600,477.15,122.85,0.00
700,556.68,143.33,0.00
800,636.20,163.80,0.00
900,715.73,184.28,0.00
1000,795.25,204.75,0.00
1100,874.78,225.23,0.00
1200,954.30,245.70,0.00
1300,1033.83,266.18,0.00
1400,1104.60,286.65,8.75
1500,1168.80,307.13,24.08
1600,1230.74,327.60,41.66
1700,1291.85,348.08,60.08
1800,1352.04,368.55,79.41
1900,1411.57,389.03,99.41
2000,1470.84,409.50,119.66
2100,1529.70,429.98,140.33
2200,1588.22,450.45,161.33
2300,1646.50,470.93,182.58
2400,1704.35,491.40,204.25
2500,1761.88,511.88,226.25
2600,1819.07,532.35,248.58
2700,1875.93,552.83,271.25
2800,1932.45,573.30,294.25
2900,1988.73,593.78,317.50
3000,2044.59,614.25,341.16
3100,2100.12,634.73,365.16
3200,2155.30,655.20,389.50
3300,2210.17,675.68,414.16
3400,2264.69,696.15,439.16
3500,2318.97,716.63,464.41
3600,2372.82,737.10,490.08
3700,2426.35,757.58,516.08
3800,2479.54,778.05,542.41
3900,2532.40,798.53,569.08
4000,2584.92,819.00,596.08
4100,2637.12,839.48,623.41
4200,2688.97,859.95,651.08
4300,2740.50,880.43,679.08
4400,2791.69,900.90,707.41
4500,2842.55,921.38,736.08
4600,2893.07,941.85,765.08
4700,2943.27,962.33,794.41
4800,2993.12,982.80,824.08
4900,3046.63,997.04,856.33
5000,3102.21,1007.54,890.25
5100,3157.30,1018.04,924.66
5200,3212.05,1028.54,959.41
5300,3266.30,1039.04,994.66
5400,3320.21,1049.54,1030.25
5500,3373.63,1060.04,1066.33
5600,3426.63,1070.54,1102.83
5700,3479.30,1081.04,1139.66
5800,3531.46,1091.54,1177.00
5900,3583.30,1102.04,1214.66
6000,3634.63,1112.54,1252.83
6100,3685.63,1123.04,1291.33
6200,3736.55,1133.54,1329.91
6300,3787.46,1144.04,1368.50
6400,3838.46,1154.54,1407.00
6500,3885.51,1165.04,1449.45
6600,3931.84,1175.54,1492.62
6700,3978.15,1186.04,1535.81
6800,4029.82,1191.29,1578.89
6900,4086.65,1191.29,1622.06
7000,4143.48,1191.29,1665.23
7100,4198.44,1191.29,1710.27
7200,4251.44,1191.29,1757.27
7300,4304.44,1191.29,1804.27
7400,4357.45,1191.29,1851.26
7500,4410.45,1191.29,1898.26
7600,4463.45,1191.29,1945.26
7700,4516.45,1191.29,1992.26
7800,4569.45,1191.29,2039.26
7900,4622.46,1191.29,2086.25
8000,4675.46,1191.29,2133.25
8100,4728.46,1191.29,2180.25
8200,4781.46,1191.29,2227.25
8300,4834.46,1191.29,2274.25
8400,4887.47,1191.29,2321.24
8500,4940.47,1191.29,2368.24
8600,4993.47,1191.29,2415.24
8700,5046.47,1191.29,2462.24
8800,5099.47,1191.29,2509.24
8900,5152.48,1191.29,2556.23
9000,5205.48,1191.29,2603.23
9100,5258.48,1191.29,2650.23
9200,5311.48,1191.29,2697.23
9300,5364.48,1191.29,2744.23
9400,5418.60,1191.29,2790.11
9500,5474.29,1191.29,2834.42
9600,5529.98,1191.29,2878.73
9700,5585.67,1191.29,2923.04
9800,5641.36,1191.29,2967.35
9900,5697.05,1191.29,3011.66
10000,5752.74,1191.29,3055.97
10100,5808.43,1191.29,3100.28
10200,5864.12,1191.29,3144.59
10300,5919.81,1191.29,3188.90
10400,5975.50,1191.29,3233.21
10500,6031.19,1191.29,3277.52
10600,6086.88,1191.29,3321.83
10700,6142.57,1191.29,3366.14
10800,6198.26,1191.29,3410.45
10900,6253.95,1191.29,3454.76
11000,6309.64,1191.29,3499.07
11100,6365.33,1191.29,3543.38
11200,6421.02,1191.29,3587.69
11300,6476.71,1191.29,3632.00
11400,6532.40,1191.29,3676.31
11500,6588.09,1191.29,3720.62
11600,6643.78,1191.29,3764.93
11700,6699.47,1191.29,3809.24
11800,6755.16,1191.29,3853.55
11900,6810.85,1191.29,3897.86
12000,6866.54,1191.29,3942.17
12100,6922.23,1191.29,3986.48
12200,6977.92,1191.29,4030.79
12300,7033.61,1191.29,4075.10
12400,7089.30,1191.29,4119.41
12500,7144.99,1191.29,4163.72
12600,7200.68,1191.29,4208.03
12700,7256.37,1191.29,4252.34
12800,7312.06,1191.29,4296.65
12900,7367.75,1191.29,4340.96
13000,7423.44,1191.29,4385.27
13100,7479.13,1191.29,4429.58
13200,7534.82,1191.29,4473.89
13300,7590.51,1191.29,4518.20
13400,7646.20,1191.29,4562.51
13500,7701.89,1191.29,4606.82
13600,7757.58,1191.29,4651.13
13700,7813.27,1191.29,4695.44
13800,7868.96,1191.29,4739.75
13900,7924.65,1191.29,4784.06
14000,7980.34,1191.29,4828.37
14100,8036.03,1191.29,4872.68
14200,8091.72,1191.29,4916.99
14300,8147.41,1191.29,4961.30
14400,8203.10,1191.29,5005.61
14500,8258.79,1191.29,5049.92
14600,8314.48,1191.29,5094.23
14700,8370.17,1191.29,5138.54
14800,8425.86,1191.29,5182.85
14900,8481.55,1191.29,5227.16
15000,8537.24,1191.29,5271.47
15100,8592.93,1191.29,5315.78
15200,8648.62,1191.29,5360.09
15300,8704.31,1191.29,5404.40
15400,8760.00,1191.29,5448.71
15500,8815.69,1191.29,5493.02
15600,8871.38,1191.29,5537.33
15700,8927.07,1191.29,5581.64
15800,8982.76,1191.29,5625.95
15900,9038.45,1191.29,5670.26
16000,9094.14,1191.29,5714.57
16100,9149.83,1191.29,5758.88
16200,9205.52,1191.29,5803.19
16300,9261.21,1191.29,5847.50
16400,9316.90,1191.29,5891.81
16500,9372.59,1191.29,5936.12
16600,9428.28,1191.29,5980.43
16700,9483.97,1191.29,6024.74
16800,9539.66,1191.29,6069.05
16900,9595.35,1191.29,6113.36
17000,9651.04,1191.29,6157.67
17100,9706.73,1191.29,6201.98
17200,9762.42,1191.29,6246.29
17300,9818.11,1191.29,6290.60
17400,9873.80,1191.29,6334.91
